[Type: Postech2019_Src],[Date: 08/29/19 09:39:44],,,,,,,,,,,,,,,,,,,
X1_InP,X2_InP,X3_InP,X4_InP,X5_InP,X6_InP,X7_InP,X8_InP,X9_InP,X10_InP,X11_InP,X12_InP,X13_InP,X14_InP,????,Post??,????????,|????-??????|,|Post??-??????|,??,????
3.086,235.23,235.09,613.6,1067.3,1172,1242,1225,250,1531,2544,0.26458,4,16,232.5136616,230.046,8.13,,,,0.00277
3.086,213.7,213.52,613.7,1081.8,1221.8,1242,1222,250,1531,2544,0.26458,4,16,211.1685055,208.919,8.13,,,,0.00277
3.086,192.13,191.93,613.8,1111.5,1267.2,1242,1217,250,1531,2544,0.26458,4,16,189.8001524,187.772,8.13,,,,0.00277
3.086,170.47,170.37,613.8,1169.6,1257.4,1242,1212,250,1531,2544,0.26458,4,16,168.3864048,166.561,8.13,,,,0.00277
3.086,136.31,136.28,732.7,4093.6,4057,1242,1196,250,1531,2544,0.26458,4,16,137.3260831,136.478,8.13,,,,0.00277
3.086,109.6,109.51,732.7,4029.4,4155,1242,1192,250,1531,2544,0.26458,4,16,110.8969038,110.294,8.13,,,,0.00277
3.086,84.77,84.69,732.8,4273.1,4422.2,1242,1184,250,1531,2544,0.26458,4,16,86.64342725,86.235,8.13,,,,0.00277
3.086,62.62,62.63,732.8,4543,4556,1242,1177,250,1531,2544,0.26458,4,16,64.93389105,64.719,8.13,,,,0.00277
3.086,42.68,42.69,732.8,5032.1,5043.9,1242,1166,250,1531,2544,0.26458,4,16,45.84249365,45.755,8.13,,,,0.00277
3.086,29.18,29.17,732.8,4961.7,4967.1,1242,1152,250,1531,2544,0.26458,4,16,32.32695125,32.348,8.13,,,,0.00277
3.086,20.15,19.85,732.9,4858.9,5127.3,1242,1136,250,1531,2544,0.26458,4,16,23.32216165,23.397,8.13,,,,0.00277
3.086,14.24,14.05,732.9,4806.3,4991.8,1242,1111,250,1531,2544,0.26458,4,16,17.40929725,17.505,8.13,,,,0.00277
3.086,10.56,10.38,732.9,4704.7,4877.9,1242,1073,250,1531,2544,0.26458,4,16,13.65996815,13.748,8.13,,,,0.00277
3.086,8.18,8.16,732.9,4615.9,4627.9,1242,1035,250,1531,2544,0.26458,4,16,11.15642355,11.227,8.13,,,,0.00277
3.086,6.96,7.08,732.9,4276,4177.3,1242,987,250,1531,2544,0.26458,4,16,9.517619147,9.562,8.13,,,,0.00277
3.086,4.35,4.42,732.9,5159.7,5096.2,1242,922,250,1531,2544,0.26458,4,16,8.277668547,8.182,8.13,0.147668547,0.052,Post??,0.00277
3.086,237.88,237.75,613.7,944.9,1040,1235,1220,250,1521,2665,0.19452,4,16,235.0042918,232.461,8.22,,,,0.00277
3.086,219.29,219.15,613.7,957.8,1072.8,1235,1217,250,1521,2665,0.19452,4,16,216.5862342,214.234,8.22,,,,0.00277
3.086,200.62,200.51,613.8,1025.6,1097,1235,1212,250,1521,2665,0.19452,4,16,198.1161106,195.955,8.22,,,,0.00277
3.086,181.96,181.93,613.8,1052,1086,1235,1207,250,1521,2665,0.19452,4,16,179.6607896,177.673,8.22,,,,0.00277
3.086,147.68,147.63,730.5,4017.2,3815.5,1235,1194,250,1521,2665,0.19452,4,16,148.2945974,147.346,8.22,,,,0.00277
3.086,120.01,119.92,730.5,3990.9,3871,1235,1190,250,1521,2665,0.19452,4,16,120.8666859,120.172,8.22,,,,0.00277
3.086,94.52,94.47,730.6,4106,4084.8,1235,1183,250,1521,2665,0.19452,4,16,95.91851982,95.426,8.22,,,,0.00277
3.086,72.09,72.25,730.6,4243.6,4124,1235,1175,250,1521,2665,0.19452,4,16,73.92916122,73.62,8.22,,,,0.00277
3.086,53.18,53.34,730.7,4396.2,4264.7,1235,1163,250,1521,2665,0.19452,4,16,55.36717212,55.208,8.22,,,,0.00277
3.086,37.74,38.04,730.7,4604.4,4349.5,1235,1151,250,1521,2665,0.19452,4,16,40.31301752,40.273,8.22,,,,0.00277
3.086,26.88,26.96,730.7,4581,4511.1,1235,1136,250,1521,2665,0.19452,4,16,29.56096752,29.589,8.22,,,,0.00277
3.086,18.92,18.92,730.7,4626.8,4633.9,1235,1119,250,1521,2665,0.19452,4,16,21.77728632,21.839,8.22,,,,0.00277
3.086,13.12,12.95,730.7,4806.1,4971.9,1235,1087,250,1521,2665,0.19452,4,16,16.37709942,16.425,8.22,,,,0.00277
3.086,9.01,8.82,730.7,5005.8,5179.5,1235,1059,250,1521,2665,0.19452,4,16,12.61191292,12.638,8.22,,,,0.00277
3.086,6.18,6.05,730.7,5146.2,5274.1,1235,1016,250,1521,2665,0.19452,4,16,10.06088082,10.039,8.22,,,,0.00277
3.086,4.31,4.47,730.7,5235.1,5095.2,1235,961,250,1521,2665,0.19452,4,16,8.320411416,8.243,8.22,0.100411416,0.023,Post??,0.00277
3.036,228.04,227.92,693,2234.9,2352,1241,1221,250,1524,2866,0.19978,6,14,226.2569783,224.51,7.01,,,,0.00277
3.036,202,201.89,693.1,2308.5,2439.5,1241,1218,250,1524,2866,0.19978,6,14,200.5385176,199.044,7.01,,,,0.00277
3.036,176.2,176.06,693.2,2429.6,2543.7,1241,1213,250,1524,2866,0.19978,6,14,175.0399505,173.802,7.01,,,,0.00277
3.036,151.44,151.42,693.2,2505.1,2545.7,1241,1208,250,1524,2866,0.19978,6,14,150.5855193,149.577,7.01,,,,0.00277
3.036,128.67,128.59,693.3,2522.9,2585.5,1241,1202,250,1524,2866,0.19978,6,14,127.9769274,127.181,7.01,,,,0.00277
3.036,107.79,107.79,693.3,2556.3,2565.8,1241,1197,250,1524,2866,0.19978,6,14,107.3035142,106.705,7.01,,,,0.00277
3.036,75.54,75.49,723,4622.4,4663.2,1241,1174,250,1524,2866,0.19978,6,14,77.9403412,77.645,7.01,,,,0.00277
